,Dummy,Beta Coefficient,P-Value,Wald Statistic,Score
0,addr_state_AL_NM_NJ,0.05667736231224611,0.03363813467106878,4.513002911206301,5.0
1,addr_state_AR_TN_MI_UT_VA_LA_PA_AZ_OH_RI_KY_DE_IN,0.14990596204390055,4.922408641046277e-14,56.760558272715116,12.0
2,addr_state_CA,0.08833629699118664,2.8297950205991425e-05,17.528860205657644,7.0
3,addr_state_MA_SD_GA_MN_WI_WA_OR_IL_CT,0.22707752530356395,6.90518811997335e-28,119.82623762120899,18.0
4,addr_state_MS_MT_SC_VT_KS_CO_AK_NH_WV_WY_ID_DC_ME,0.3907092592114117,3.2906047212629245e-46,203.67786178361803,32.0
5,addr_state_NE_IA_NV_HI_FL,0.0,reference category,reference category,0.0
6,addr_state_NY,0.0903611825565257,0.00015628487985864837,14.294934463876208,7.0
7,addr_state_OK_MO_MD_NC,0.0994322076580177,5.754031091906685e-05,16.181932595296786,8.0
8,addr_state_TX,0.2751945263888717,1.0443460145851565e-26,114.43890897320092,22.0
9,annual_inc_120.0K-150.0K,0.8532510688231043,4.3220837812782054e-66,294.86891726660775,69.0
10,annual_inc_20.0K-40.0K,0.12316213462712351,0.0015744122958361965,9.989431190666629,10.0
11,annual_inc_40.0K-60.0K,0.3482345231151274,1.4671368787230581e-18,77.30204979559657,28.0
12,annual_inc_60.0K-75.0K,0.5368273031797984,1.4651682967763802e-38,168.64148048413765,43.0
13,annual_inc_75.0K-90.0K,0.6460526465343454,3.1520891557250214e-51,226.68368267199688,52.0
14,annual_inc_90.0K-120.0K,0.7498821772937864,4.930179006802442e-66,294.606526269474,61.0
15,annual_inc_<=20.0K,0.0,reference category,reference category,0.0
16,annual_inc_>150.0K,0.8831890459974941,2.4241999950645866e-63,282.25330680861913,72.0
17,const,-1.299379860485599,7.932691672099012e-63,279.8906722082992,308.0
18,dti_12.0-16.0,0.15056462055943828,1.8265340423572423e-12,49.66195814840831,12.0
19,dti_16.0-20.0,0.09165199545476128,9.704672282330138e-06,19.568688639277457,7.0
20,dti_20.0-28.0,0.01044019075407228,0.583362574981137,0.3008299643068495,1.0
21,dti_4.0-8.0,0.25784303514998297,3.0903746000470735e-22,94.04111515560199,21.0
22,dti_8.0-12.0,0.18249561453747917,1.6793471737826404e-15,63.40916657501183,15.0
23,dti_<=4.0,0.21337432916645724,3.0381008367588645e-09,35.159280648476646,17.0
24,dti_>28.0,0.0,reference category,reference category,0.0
25,emp_length_0,0.0,reference category,reference category,0.0
26,emp_length_1-3,0.09799347671242119,6.433355099804019e-08,29.22827381149645,8.0
27,emp_length_10,0.1188730584643038,2.3779236025913726e-11,44.63184499213158,10.0
28,emp_length_4-6,0.07680339118350762,4.429836609154639e-05,16.677713640037762,6.0
29,emp_length_7-9,0.05268805084216003,0.008631369461802714,6.897555409629668,4.0
30,home_ownership_MORTGAGE,0.09249237919021752,4.044894628100895e-11,43.59199876150319,7.0
31,home_ownership_OTHER_NONE_RENT_ANY,0.0,reference category,reference category,0.0
32,home_ownership_OWN,0.0951320838139434,1.0857692967682587e-06,23.769724840377197,8.0
33,initial_list_status_f,0.0,reference category,reference category,0.0
34,initial_list_status_w,0.13176895877953648,1.5315101029334626e-25,109.1148353965495,11.0
35,inq_last_6mths_0,0.4346834064542377,9.131199389925267e-54,238.32228360459783,35.0
36,inq_last_6mths_1,0.30880083595915964,1.4161458627179165e-27,118.40150384874508,25.0
37,inq_last_6mths_2,0.20089375487928568,1.2553857802547277e-11,45.88287529516539,16.0
38,inq_last_6mths_3,0.09708723916458169,0.0026916834530294445,9.005499969582788,8.0
39,inq_last_6mths_4-33,0.0,reference category,reference category,0.0
40,int_rate_10.0-12.0,1.0054698188720181,3.499636549286988e-77,345.7896301592233,81.0
41,int_rate_12.0-14.0,0.7448392658824671,7.742337475419502e-59,261.5857150246522,60.0
42,int_rate_14.0-16.0,0.513394511185868,2.513342691795128e-36,158.4136750794962,42.0
43,int_rate_16.0-18.0,0.2610556454591762,9.876000988520712e-13,50.86861849645788,21.0
44,int_rate_18.0-22.0,0.09368216474338141,0.001881526460306585,9.661668599177066,8.0
45,int_rate_7.0-10.0,1.2559016113749764,5.5679774066766625e-78,349.45556883425115,102.0
46,int_rate_<=7.0,1.6287243688293964,1.6127030416295281e-68,306.01405246437355,132.0
47,int_rate_>22.0,0.0,reference category,reference category,0.0
48,loan_amnt_14.3K-21.2K,0.11422188714235526,8.8260328248301e-07,24.16858430271691,9.0
49,loan_amnt_21.2K-28.1K,0.029685198670141525,0.2288526758586441,1.447978005864536,2.0
50,loan_amnt_7.4K-14.3K,0.24238548318785894,4.916054175331859e-23,97.68064021273602,20.0
51,loan_amnt_<=7.4K,0.4324686642046795,2.322019285591803e-58,259.3974151531246,35.0
52,loan_amnt_>28.1K,0.0,reference category,reference category,0.0
53,mths_since_earliest_cr_line_151.0-226.0,-0.005152507372487092,0.7594835380636268,0.09373337319040044,-0.0
54,mths_since_earliest_cr_line_226.0-276.0,0.008079449534129448,0.676970380710828,0.17355627597291065,1.0
55,mths_since_earliest_cr_line_276.0-401.0,0.0757175733645854,0.00018226501520440875,14.005620273727223,6.0
56,mths_since_earliest_cr_line_<=151.0,0.0,reference category,reference category,0.0
57,mths_since_earliest_cr_line_>401.0,0.06437993769770058,0.032439698078217984,4.575108154626868,5.0
58,mths_since_last_delinq_22.0-37.0,0.21469151743441506,5.5396536645559623e-08,29.5181141605612,17.0
59,mths_since_last_delinq_37.0-74.0,0.15519266993076983,4.687593469978627e-05,16.57044253369197,13.0
60,mths_since_last_delinq_4.0-7.0,0.08594795389793798,0.07929497271802191,3.079293317807117,7.0
61,mths_since_last_delinq_7.0-22.0,0.1525835477621432,8.093361951074889e-05,15.536356713231871,12.0
62,mths_since_last_delinq_<=4.0,0.0,reference category,reference category,0.0
63,mths_since_last_delinq_>74.0,0.12806164860301306,0.009804917781807785,6.670000193411741,10.0
64,mths_since_last_delinq_never_delinquent,0.10501474861754287,0.0043691875437586345,8.123634663455354,9.0
65,open_acc_12.0-21.0,-0.09450109002093629,2.957053493149445e-07,26.277555409036612,-8.0
66,open_acc_6.0-12.0,-0.09046586473756656,1.2744995819975693e-08,32.36982974105543,-7.0
67,open_acc_<=6.0,0.0,reference category,reference category,0.0
68,open_acc_>21.0,-0.07788021627958594,0.01908812702757062,5.493423823007942,-6.0
69,purpose_credit_card,0.5021059419424593,1.222362169976464e-62,279.0289782004002,41.0
70,purpose_debt_consolidation,0.3884321024007882,7.987549854610896e-44,192.7485061379858,31.0
71,purpose_other_house_medical_vacation,0.33026027882605247,3.7297226367665924e-25,107.35068789979987,27.0
72,purpose_small_business_educational_renewable_energy_moving,0.0,reference category,reference category,0.0
73,purpose_wedding_home_improvement_major_purchase_car,0.4523639703357293,1.0221766589914145e-45,201.42199573288573,37.0
74,revol_bal_12.0K-22.0K,0.10450034123651211,0.00011216269729968414,14.920081072310946,8.0
75,revol_bal_2.0K-6.0K,0.11393189368253509,1.08146202218101e-05,19.36184744269137,9.0
76,revol_bal_22.0K-30.0K,0.15673372384752673,4.951725145981169e-07,25.282533569812895,13.0
77,revol_bal_30.0K-36.0K,0.12709400920268546,0.0007301905974362315,11.410782757635149,10.0
78,revol_bal_36.0K-40.0K,0.1481047606842739,0.0025928992168222547,9.073854679588534,12.0
79,revol_bal_6.0K-12.0K,0.07892500659605999,0.0022813672642717723,9.308149998495681,6.0
80,revol_bal_<=2.0K,0.0,reference category,reference category,0.0
81,revol_bal_>40.0K,0.07453209776916637,0.051393293887164467,3.795409715038383,6.0
82,sub_grade_A3_A2_A1,0.6942871980387982,2.9967161553972665e-16,66.80542948552029,56.0
83,sub_grade_A5_A4,0.41030783979688146,1.7960410865263497e-08,31.70343654166064,33.0
84,sub_grade_B2_B1,0.26879036750286,1.0135634002749306e-05,19.485686594589676,22.0
85,sub_grade_B4_B3,0.2822122148138073,7.04876060310579e-08,29.05127744525684,23.0
86,sub_grade_C2_C1_B5,0.28268572188507013,1.8298736097357782e-09,36.146921132571634,23.0
87,sub_grade_C5_C4_C3,0.27203658774686856,4.5242590213770767e-10,38.87242788374522,22.0
88,sub_grade_D3_D2_D1,0.32227967608211777,2.687181941161981e-16,67.02035506179826,26.0
89,sub_grade_E1_D5_D4,0.2988374899717502,4.107086666032747e-15,61.647882032907766,24.0
90,sub_grade_E5_F1_E4_E3_E2,0.16358301109846193,2.5437589868995056e-07,26.568358762374707,13.0
91,sub_grade_G1_F5_G5_G3_G2_F4_F3_G4_F2,0.0,reference category,reference category,0.0
92,tot_cur_bal_140.0K-200.0K,0.48831688764401465,4.1483914195789727e-103,464.889426363201,40.0
93,tot_cur_bal_200.0K-240.0K,0.5465319490959867,2.127373410210633e-81,365.1516732196708,44.0
94,tot_cur_bal_240.0K-280.0K,0.577994522160419,5.378600021889106e-72,321.9751758431231,47.0
95,tot_cur_bal_280.0K-340.0K,0.5834686816525557,1.4460652121641688e-73,329.18549688008045,47.0
96,tot_cur_bal_340.0K-400.0K,0.6024913940409397,3.128449736355141e-51,226.6986728511137,49.0
97,tot_cur_bal_80.0K-140.0K,0.4958195023265573,2.0029851339727085e-112,507.70438141545515,40.0
98,tot_cur_bal_<=80.0K,0.5074713897166239,9.039263099599741e-228,1038.1769210587288,41.0
99,tot_cur_bal_>400.0K,0.7032054865255533,2.5407768402037892e-85,383.1692804728751,57.0
100,tot_cur_bal_missing,0.0,reference category,reference category,0.0
101,verification_status_Not Verified,0.03431651450988262,0.01419795538550673,6.013361475653815,3.0
102,verification_status_Source Verified,0.04449094796098163,0.0005211706985282052,12.038350522014348,4.0
103,verification_status_Verified,0.0,reference category,reference category,0.0
